nct_id_i,nct_id_j,similarity
NCT03257033,NCT06185673,0.39171757640332144
NCT03257033,NCT06204809,0.6064474758740519
NCT03257033,NCT06255782,0.6824975852746057
NCT03257033,NCT06377930,0.6740938309018969
NCT03257033,NCT06601192,0.6473439510895285
NCT03257033,NCT06663137,0.7574995451495838
NCT03257033,NCT06736509,0.7009861989163698
NCT03257033,NCT05579249,0.6047708264812897
NCT03257033,NCT06034275,0.8404013672307705
NCT03257033,NCT05065411,0.8549848320160404
NCT03257033,NCT05424276,0.6095268937459956
NCT03257033,NCT04887298,0.6585513105482516
NCT03257033,NCT04073498,0.65855735708412
NCT03257033,NCT03959527,0.7375662342920803
NCT03257033,NCT04469595,0.691955649498731
NCT03257033,NCT04370054,0.7719608285819515
NCT03363841,NCT03059992,0.7404068624580508
NCT03363841,NCT03257033,0.6990298194506628
NCT03363841,NCT03363841,1.0000000000000004
NCT03363841,NCT03417102,0.6780648773383939
NCT03363841,NCT03425279,0.7353579878626518
NCT03363841,NCT03464019,0.8073305341814525
NCT03363841,NCT03504488,0.7829610239907336
NCT03363841,NCT04003467,0.6205341402417675
NCT03363841,NCT04153149,0.817966327385145
NCT03363841,NCT04163185,0.8564003400691796
NCT03363841,NCT04180488,0.8778951749768701
NCT03363841,NCT04524273,0.8533395790451642
NCT03363841,NCT04544293,0.6564037410301162
NCT03363841,NCT05059223,0.8819628261104786
NCT03363841,NCT05085366,0.8912863950819601
NCT03363841,NCT05109091,0.7992539769697482
NCT03363841,NCT05208944,0.6033769108543797
NCT03363841,NCT05291091,0.8456278256000568
NCT03363841,NCT05357950,0.7542623551313031
NCT03363841,NCT05481879,0.7196086702632156
NCT03363841,NCT05693142,0.666517366042874
NCT03363841,NCT05696717,0.8201727424889985
NCT03363841,NCT05731544,0.8194232098308211
NCT03363841,NCT06079736,0.6573739658353052
NCT03363841,NCT06185673,0.4749552368205155
NCT03363841,NCT06204809,0.7736335453107772
NCT03363841,NCT06255782,0.6680836798310293
NCT03363841,NCT06377930,0.7295134272408864
NCT03363841,NCT06601192,0.7735836927494232
NCT03363841,NCT06663137,0.7393245258834916
NCT03363841,NCT06736509,0.9121218852836469
NCT03363841,NCT05579249,0.6150348869542359
NCT03363841,NCT06034275,0.6840327892134541
NCT03363841,NCT05065411,0.639607404306234
NCT03363841,NCT05424276,0.746907306319593
NCT03363841,NCT04887298,0.6807732923662667
NCT03363841,NCT04073498,0.6832379730717208
NCT03363841,NCT03959527,0.7523080085536273
NCT03363841,NCT04469595,0.8365037150138206
NCT03363841,NCT04370054,0.765179961445149
NCT03417102,NCT03059992,0.6327590470372504
NCT03417102,NCT03257033,0.6815192765313348
NCT03417102,NCT03363841,0.6780648773383939
NCT03417102,NCT03417102,1.0000000000000002
NCT03417102,NCT03425279,0.6949655574850829
NCT03417102,NCT03464019,0.6525723946672967
NCT03417102,NCT03504488,0.7003755056295567
NCT03417102,NCT04003467,0.6286884012537628
NCT03417102,NCT04153149,0.7108318020482042
NCT03417102,NCT04163185,0.6879500966506574
NCT03417102,NCT04180488,0.7636370942638392
NCT03417102,NCT04524273,0.644514631319424
NCT03417102,NCT04544293,0.5701324795528504
NCT03417102,NCT05059223,0.6370145286947211
NCT03417102,NCT05085366,0.6383461723428193
NCT03417102,NCT05109091,0.673764120194238
NCT03417102,NCT05208944,0.8219549182934326
NCT03417102,NCT05291091,0.6723546357823534
NCT03417102,NCT05357950,0.7788927726836589
NCT03417102,NCT05481879,0.7010005717314639
NCT03417102,NCT05693142,0.6478523373846642
NCT03417102,NCT05696717,0.6146248760716692
NCT03417102,NCT05731544,0.6395004168301552
NCT03417102,NCT06079736,0.7282124888394226
NCT03417102,NCT06185673,0.5674767112856813
NCT03417102,NCT06204809,0.6245001461765347
NCT03417102,NCT06255782,0.8240029647695422
NCT03417102,NCT06377930,0.7469310847241226
NCT03417102,NCT06601192,0.6604062539198037
NCT03417102,NCT06663137,0.7660435644982457
NCT03417102,NCT06736509,0.6253098442439876
NCT03417102,NCT05579249,0.6636488542203358
NCT03417102,NCT06034275,0.6385146442943348
NCT03417102,NCT05065411,0.6973085013359733
NCT03417102,NCT05424276,0.6388649500806786
NCT03417102,NCT04887298,0.5549957141231423
NCT03417102,NCT04073498,0.8524342781256204
NCT03417102,NCT03959527,0.7202699460884353
NCT03417102,NCT04469595,0.707535067943238
NCT03417102,NCT04370054,0.7942734045863787
NCT03425279,NCT03059992,0.6958658632603424
NCT03425279,NCT03257033,0.9266690432585025
NCT03425279,NCT03363841,0.7353579878626518
NCT03425279,NCT03417102,0.6949655574850829
NCT03425279,NCT03425279,1.0
NCT03425279,NCT03464019,0.7356114012417192
NCT03425279,NCT03504488,0.9439049752261734
NCT03425279,NCT04003467,0.6651153893082953
NCT03425279,NCT04153149,0.763664562956201
NCT03425279,NCT04163185,0.7575092926120333
NCT03425279,NCT04180488,0.8344961389664136
NCT03425279,NCT04524273,0.8182979397062782
NCT03425279,NCT04544293,0.640650621705903
NCT03425279,NCT05059223,0.7619588145086372
NCT03425279,NCT05085366,0.7974470223999046
NCT03425279,NCT05109091,0.7911329330119089
NCT03425279,NCT05208944,0.7820373087001523
